X,Rodada,Scouts,status,status_id,media,pontos,apelido,preco,partida_data,jogos,variacao,id,clube,posicao
13,4,SG=1;FS=3;PE=8;RB=5;FC=6;CA=1;FF=1,Nulo,6,4.15,0.3,Mário Sérgio,5.55,30/05/2015,2,-0.63,87399,joinville,Lateral
14,4,PE=2;RB=1;FC=1;FF=1,Nulo,6,0.65,-1.1,Arthur Maia,5.47,31/05/2015,2,-1.17,68962,flamengo,Meia
15,4,FS=1;PE=4;RB=3;FC=5;FF=1,Nulo,6,0.87,-1,Mazola,5.45,31/05/2015,3,-0.97,69048,figueirense,Atacante
16,4,PE=1;DD=2;GS=1,Nulo,6,3.7,3.7,Rafael,5.44,31/05/2015,1,0.44,68928,cruzeiro,Goleiro
17,4,FS=1;PE=6;RB=1;FC=2,Nulo,6,-0.3,0,Rodrigo Caio,5.32,31/05/2015,2,0,73800,são paulo,Meia
18,4,FS=3;PE=3;I=1;FC=3;CA=2;FF=2;FD=1,Provável,7,-1.5,-0.8,Leandro Pereira,5.32,31/05/2015,2,-0.76,78968,palmeiras,Atacante
19,4,,Provável,7,2.42,0.97,Argel Fucks,5.31,31/05/2015,3,-0.27,73317,figueirense,Técnico
20,4,FS=3;PE=2;FC=2;FF=1,Nulo,6,0.6,0,Uelliton,5.22,30/05/2015,1,0,63003,avaí,Meia
1,4,FS=1;PE=5;RB=4;FC=4,Provável,7,1.9,-0.6,Nicolás Freitas,5.19,31/05/2015,2,-0.86,73750,internacional,Meia
2,4,FS=1;PE=2;RB=4;FC=3,Dúvida,2,5.2,5.2,Leandrinho,5.19,31/05/2015,1,1.19,78235,santos,Meia
3,4,PE=6;FF=1,Dúvida,2,-0.55,0,Bernardo,5.18,31/05/2015,2,0,68697,vasco,Meia
4,4,FS=3;PE=3;RB=3;FC=6;CA=1;FF=3,Nulo,6,0.93,2.9,Gabriel Xavier,5.17,31/05/2015,3,0.73,85040,cruzeiro,Meia
5,4,FS=5;PE=1;RB=1;FC=1,Nulo,6,1.13,0.5,Giovanni Augusto,5.14,31/05/2015,3,-0.1,68938,atlético-mg,Meia
6,4,FS=5;PE=1;FC=3,Nulo,6,0.7,0,Martín Luque,5.09,31/05/2015,1,0,88366,internacional,Meia
7,4,FS=2;PE=4;FT=1;I=3;FC=4;FF=2;FD=1,Nulo,6,0.73,3.2,Henrique Dourado,5.02,31/05/2015,3,0.81,81905,cruzeiro,Atacante
8,4,,Nulo,6,0,0,Dida,5,31/05/2015,0,0,36443,internacional,Goleiro
9,4,,Nulo,6,0,0,Elias,5,31/05/2015,0,0,63133,figueirense,Atacante
10,4,,Nulo,6,0,0,Giva,5,30/05/2015,0,0,83255,coritiba,Atacante
11,4,,Nulo,6,0,0,André,5,31/05/2015,0,0,68690,atlético-mg,Atacante
12,4,,Contundido,5,0,0,Bonfim ,5,30/05/2015,0,0,80441,coritiba,Zagueiro
13,4,,Nulo,6,0,0,Vaná,5,30/05/2015,0,0,79535,coritiba,Goleiro
14,4,,Contundido,5,0,0,Matheus Bertotto,5,31/05/2015,0,0,78530,internacional,Meia
15,4,,Nulo,6,0,0,Vitinho,5,31/05/2015,0,0,82653,grêmio,Atacante
16,4,,Contundido,5,0,0,Bruno Furlan,5,30/05/2015,0,0,79228,joinville,Atacante
17,4,,Nulo,6,0,0,Neto,5,30/05/2015,0,0,69008,chapecoense,Zagueiro
18,4,,Nulo,6,0,0,Caju,5,31/05/2015,0,0,89342,santos,Lateral
19,4,,Nulo,6,0,0,Leandro,5,30/05/2015,0,0,91702,ponte preta,Atacante
20,4,,Nulo,6,0,0,Diego Cardoso,5,31/05/2015,0,0,86837,santos,Atacante
1,4,NA,Nulo,6,0,0,Rodrigo Biro,5,30/05/2015,0,0,82525,ponte preta,Lateral
2,4,NA,Nulo,6,0,0,Claudinei,5,30/05/2015,0,0,73863,avaí,Meia
3,4,NA,Nulo,6,0,0,Bruno Mendes,5,30/05/2015,0,0,78977,avaí,Atacante
4,4,NA,Contundido,5,0,0,Denis,5,31/05/2015,0,0,51175,são paulo,Goleiro
5,4,NA,Nulo,6,0,0,Henrique Mattos,5,31/05/2015,0,0,71593,sport,Zagueiro
6,4,NA,Nulo,6,0,0,Edson Silva,5,31/05/2015,0,0,71507,são paulo,Zagueiro
7,4,NA,Nulo,6,0,0,Matheus Inácio,5,30/05/2015,0,0,80394,ponte preta,Goleiro
8,4,NA,Nulo,6,0,0,Dráusio,5,30/05/2015,0,0,78648,joinville,Zagueiro
9,4,NA,Nulo,6,0,0,Arouca,5,31/05/2015,0,0,37718,palmeiras,Meia
10,4,NA,Nulo,6,0,0,Nathan,5,31/05/2015,0,0,89156,palmeiras,Zagueiro
